startId,0,dialogueType,roleplay,,,,,
startEmote,4,afterSatisfiedId,210,,,,,
id,type,talker,messages,emote,question type,choices,choiceValues,choiceIdNexts
0,message,Player,"Halo, Nina. Saya [nama]. Saya di sini untuk membantu.",,,,,1
1,message,Player,Kira-kira apa yang bisa saya bantu?,,,,,2
2,message,Nina,"Oh, untunglah Anda datang.",,,,,3
3,message,Nina,"Jadi, tim sales kami sedang melakukan deal dengan PT XYZ. Namun, deal yang diminta PT XYZ sangatlah berat untuk kami setujui.",,,,,4
4,message,Nina,Sebelumnya PT XYZ memang sudah pernah melakukan deal dengan Trakindo dan mengakui bahwa service yang diberikan oleh kita memuaskan.,,,,,5
5,message,Nina,"Namun, kali ini CEO PT XYZ langsung yang mengajukan permintaan deal ini.",,,,,6
6,message,Nina,"Ia mengatakan jika deal ini berhasil, mereka akan mempercayakan semua keperluan alat berat mereka pada Trakindo ke depannya..",,,,,7
7,Question,Nina,"Agar masalah ini menjadi win-win solution, kira-kira apa yang harus kami lakukan?",,multiple choice,Menolak deal tersebut karena kurang menguntungkan | Menyetujui deal tersebut karena bisa menjadi opportunity di masa depan,0 | 1,8 | 10
8,message,Nina,Hm...tapi bagaimana jika nanti kita jadi kehilangan opportunity di masa depan?,,,,,9
9,message,Nina,PT XYZ salah satu client yang berharga untuk kita.,,,,,7
10,message,Nina,Hm... ,,,,,11
11,message,Nina,Kenpa menurut Anda begitu?,,,,,12
12,Question,Info,Apa yang akan Anda katakan untuk meyakinkan Nina?,,multiple choice,"Karena aku percaya bahwa kita tidak hanya sekedar menjual barang melainkan value sehingga sangat mungkin dengan ini membuka kerjasama yang menguntungkan di masa depan dengan PT XYZ | Karena mereka sudah mempercayai kita sebelumnya, jadi tidak ada salahnya jika kita menyetujui deal ini. | Karena kita perlu mengejar target sales barang makanya kita butuh lebih banyak barang terjual. Meskipun dirasa sulit tapi deal ini tetap menjual barang bukan?",1 | 0 | 0,13 | 16 | 16
13,message,Nina,Ah benar juga. Karena kita menjual value dari apa yang kita sediakan untuk klien sebaik mungkin makanya kita butuh lebih melihat jauh ke depan akan potensi kerjasama yang bisa terjadi ya.,,,,,14
14,message,Player,"Betul, Nina.",,,,,16
15,message,Player,Lagipula itu juga salah satu sikap cerminan pemimpin dan perintis bukan? Untuk selalu berorientasi masa depan dan mengambil kesempatan yang datang.,,,,,17
16,message,Nina,"Tapi tujuan kita tidak hanya sekedar itu saja, [nama].",,,,,17
17,message,Nina,"Terima kasih ya atas masukannya. Sungguh Anda mengingatkan saya kembali akan sikap ""Saya pemimpin dan perintis"".",,,,,18
18,message,Nina,"Ah, iya! Anda bisa belajar mengenai materi selanjutnya dengan Pak Agus lagi. Ia biasanya ada di pos ke-3.",,,,,19
19,message,Player,"Wah, terima kasih, Nina. Semoga sukses dengan deal-nya.",,,,,20
20,message,Nina,Sama-sama. Semoga sukses dengan materi selanjutnya!,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
